"","Date","ILI Total"
"1","9/28/03",21498
"2","10/5/03",22741
"3","10/12/03",25158
"4","10/19/03",27613
"5","10/26/03",29904
"6","11/2/03",34097
"7","11/9/03",42883
"8","11/16/03",58182
"9","11/23/03",84436
"10","11/30/03",130552
"11","12/7/03",230891
"12","12/14/03",293204
"13","12/21/03",318280
"14","12/28/03",226679
"15","1/4/04",145829
"16","1/11/04",102592
"17","1/18/04",79797
"18","1/25/04",66058
"19","2/1/04",55609
"20","2/8/04",49453
"21","2/15/04",45833
"22","2/22/04",42691
"23","2/29/04",39278
"24","3/7/04",36209
"25","3/14/04",33963
"26","3/21/04",32501
"27","3/28/04",30639
"28","4/4/04",29864
"29","4/11/04",28491
"30","4/18/04",26929
"31","4/25/04",25642
"32","5/2/04",24654
"33","5/9/04",23628
"34","5/16/04",22927
"35","5/23/04",22204
"36","5/30/04",21685
"37","6/6/04",21381
"38","6/13/04",20832
"39","6/20/04",20501
"40","6/27/04",20185
"41","7/4/04",20053
"42","7/11/04",19682
"43","7/18/04",19294
"44","7/25/04",19086
"45","8/1/04",19039
"46","8/8/04",18891
"47","8/15/04",18974
"48","8/22/04",19412
"49","8/29/04",19959
"50","9/5/04",21330
"51","9/12/04",22296
"52","9/19/04",23774
"53","9/26/04",24968
"54","10/3/04",29458
"55","10/10/04",37746
"56","10/17/04",48968
"57","10/24/04",55135
"58","10/31/04",57563
"59","11/7/04",62363
"60","11/14/04",63881
"61","11/21/04",62825
"62","11/28/04",68196
"63","12/5/04",69299
"64","12/12/04",71877
"65","12/19/04",78532
"66","12/26/04",93433
"67","1/2/05",98995
"68","1/9/05",98153
"69","1/16/05",101736
"70","1/23/05",111982
"71","1/30/05",134384
"72","2/6/05",166399
"73","2/13/05",180670
"74","2/20/05",165180
"75","2/27/05",142394
"76","3/6/05",125362
"77","3/13/05",111131
"78","3/20/05",99914
"79","3/27/05",87217
"80","4/3/05",74402
"81","4/10/05",64515
"82","4/17/05",57692
"83","4/24/05",52492
"84","5/1/05",48355
"85","5/8/05",44510
"86","5/15/05",41533
"87","5/22/05",39488
"88","5/29/05",37978
"89","6/5/05",35548
"90","6/12/05",34171
"91","6/19/05",33143
"92","6/26/05",31489
"93","7/3/05",30771
"94","7/10/05",29879
"95","7/17/05",28970
"96","7/24/05",28291
"97","7/31/05",27981
"98","8/7/05",28006
"99","8/14/05",28122
"100","8/21/05",28590
"101","8/28/05",28653
"102","9/4/05",30238
"103","9/11/05",36331
"104","9/18/05",39004
"105","9/25/05",42107
"106","10/2/05",49878
"107","10/9/05",60660
"108","10/16/05",61608
"109","10/23/05",64903
"110","10/30/05",77373
"111","11/6/05",76068
"112","11/13/05",77821
"113","11/20/05",74096
"114","11/27/05",76044
"115","12/4/05",76674
"116","12/11/05",84224
"117","12/18/05",102740
"118","12/25/05",123674
"119","1/1/06",115927
"120","1/8/06",97696
"121","1/15/06",90796
"122","1/22/06",93368
"123","1/29/06",93787
"124","2/5/06",95978
"125","2/12/06",105508
"126","2/19/06",112014
"127","2/26/06",113756
"128","3/5/06",110495
"129","3/12/06",99944
"130","3/19/06",93810
"131","3/26/06",87400
"132","4/2/06",76026
"133","4/9/06",66924
"134","4/16/06",59111
"135","4/23/06",53528
"136","4/30/06",50641
"137","5/7/06",47548
"138","5/14/06",44552
"139","5/21/06",42706
"140","5/28/06",40827
"141","6/4/06",38651
"142","6/11/06",36370
"143","6/18/06",34444
"144","6/25/06",33175
"145","7/2/06",32503
"146","7/9/06",31631
"147","7/16/06",30533
"148","7/23/06",29860
"149","7/30/06",29154
"150","8/6/06",28816
"151","8/13/06",28841
"152","8/20/06",29080
"153","8/27/06",29708
"154","9/3/06",31684
"155","9/10/06",34835
"156","9/17/06",39080
"157","9/24/06",41729
"158","10/1/06",44139
"159","10/8/06",46798
"160","10/15/06",50238
"161","10/22/06",55050
"162","10/29/06",61258
"163","11/5/06",66595
"164","11/12/06",74610
"165","11/19/06",72240
"166","11/26/06",80677
"167","12/3/06",82962
"168","12/10/06",93093
"169","12/17/06",106349
"170","12/24/06",114744
"171","12/31/06",109186
"172","1/7/07",96517
"173","1/14/07",91826
"174","1/21/07",100778
"175","1/28/07",112077
"176","2/4/07",132886
"177","2/11/07",145057
"178","2/18/07",145405
"179","2/25/07",133814
"180","3/4/07",123070
"181","3/11/07",107772
"182","3/18/07",97216
"183","3/25/07",83330
"184","4/1/07",71706
"185","4/8/07",67046
"186","4/15/07",60974
"187","4/22/07",54500
"188","4/29/07",49134
"189","5/6/07",46042
"190","5/13/07",42897
"191","5/20/07",40754
"192","5/27/07",39331
"193","6/3/07",37062
"194","6/10/07",35784
"195","6/17/07",34338
"196","6/24/07",33134
"197","7/1/07",32497
"198","7/8/07",31546
"199","7/15/07",30948
"200","7/22/07",30630
"201","7/29/07",30630
"202","8/5/07",30474
"203","8/12/07",30765
"204","8/19/07",31219
"205","8/26/07",32456
"206","9/2/07",35293
"207","9/9/07",38025
"208","9/16/07",40928
"209","9/23/07",42943
"210","9/30/07",46631
"211","10/7/07",49026
"212","10/14/07",53754
"213","10/21/07",57793
"214","10/28/07",64059
"215","11/4/07",69643
"216","11/11/07",72449
"217","11/18/07",68630
"218","11/25/07",74888
"219","12/2/07",73813
