"nMCMC" "beta0" "pC" "Tg" "Baseline" "N" "negativeLLK"
"1" 1 1.78506941864596 0.3 2.6 334.233269478238 97646.165290309 88372.4324630703
"2" 2 1.75724599361342 0.3 2.6 334.46680427403 98151.667398287 87527.8604413995
"3" 3 1.70332265403723 0.3 2.6 332.739265877944 95758.9685169953 85486.0605059513
"4" 4 1.66099393660285 0.3 2.6 334.814317412257 92936.2245321874 83143.2871120938
"5" 5 1.61142913207754 0.3 2.6 332.453698231665 91823.9229648793 81417.9064576286
"6" 6 1.54120118397363 0.3 2.6 329.740797896534 92893.7437347017 79093.6820687884
"7" 7 1.43678399876393 0.3 2.6 330.001611984898 89944.4270257595 73992.3520439156
"8" 8 1.37089568266989 0.3 2.6 332.420845472209 90848.2680878344 70578.1410939713
"9" 9 1.30937311855959 0.3 2.6 329.460872978643 87046.3129604954 67501.2518486043
"10" 10 1.24504481330785 0.3 2.6 329.628659392101 89677.1348028707 64158.4466834855
"11" 11 1.19409088081969 0.3 2.6 322.842709698812 90394.1952814486 61999.7082491361
"12" 12 1.14219351135492 0.3 2.6 326.423218972795 83179.4258680446 58180.0948376142
"13" 13 1.03644045447444 0.3 2.6 333.960674117595 83525.0445426771 49686.4986291372
"14" 14 0.974014224838288 0.3 2.6 341.108073391077 83674.3200216277 43215.3227759777
"15" 15 0.916808634929509 0.3 2.6 344.295942403908 87895.0208264688 35713.4730286929
"16" 16 0.89249635688881 0.3 2.6 347.458413429035 90005.1808820342 31906.6148029004
"17" 17 0.870250886561374 0.3 2.6 348.061027121157 87671.4753530728 29311.8995000525
"18" 18 0.851370599119622 0.3 2.6 347.320854117788 89530.3808905311 26472.9176389312
"19" 19 0.839809466136664 0.3 2.6 349.161135945905 92072.6838710627 24384.0219166225
"20" 20 0.823687524814417 0.3 2.6 349.818711443865 92212.4384916713 22504.492362456
"21" 21 0.790399309074312 0.3 2.6 347.651073064693 90809.9017071003 20480.4900815078
"22" 22 0.780715999733153 0.3 2.6 352.64993645223 94608.6340857106 19279.2773336857
"23" 23 0.781568405709631 0.3 2.6 355.695019315266 94764.0827825046 19109.8429477492
"24" 24 0.784280795644279 0.3 2.6 357.732712683497 96264.7130682275 18778.6575848485
"25" 25 0.767762137607405 0.3 2.6 352.11523123247 101056.23909164 18468.2239538308
"26" 26 0.782121599178598 0.3 2.6 355.895225287702 103228.707613245 17702.7878627859
"27" 27 0.785006455901091 0.3 2.6 355.807403978371 108902.68274608 16907.0614420146
"28" 28 0.77282399942838 0.3 2.6 357.54618152837 112836.123671507 16506.7348696216
"29" 29 0.786759144274654 0.3 2.6 357.768648362449 112774.689174111 16329.8475201791
"30" 30 0.79454984898883 0.3 2.6 356.740369351263 115322.357291082 16217.7572195659
"31" 31 0.777360758710622 0.3 2.6 356.818976907382 119380.919152049 15694.2141097648
"32" 32 0.778771032159898 0.3 2.6 356.812767196083 120064.709041778 15591.4106070792
"33" 33 0.792403845222711 0.3 2.6 360.15167805219 119531.699336667 15520.9978630798
"34" 34 0.783152353841234 0.3 2.6 360.384453703481 122130.430832423 15173.7510163873
"35" 35 0.782087636431301 0.3 2.6 363.018237438399 124565.883945193 14852.581270929
"36" 36 0.783014871243837 0.3 2.6 363.321675371472 124649.366398931 14821.1510352904
"37" 37 0.772827869981886 0.3 2.6 368.234961145306 129352.378790797 14571.1390671757
"38" 38 0.798298555718506 0.3 2.6 365.991729077068 132505.121981442 14196.1945602629
"39" 39 0.790674308034201 0.3 2.6 370.439829428544 140920.209770869 13298.0740732508
"40" 40 0.782526080722822 0.3 2.6 373.842384806322 143223.25838301 13155.5779439936
"41" 41 0.786182239856875 0.3 2.6 374.187412058434 143555.058963812 13050.0047665485
"42" 42 0.788880773565941 0.3 2.6 376.457247677668 145594.537400593 12842.5571074452
"43" 43 0.791575462627983 0.3 2.6 376.883510214756 145865.863812099 12809.0900575515
"44" 44 0.790306952368285 0.3 2.6 376.861559760385 146320.102623159 12787.0415521683
"45" 45 0.793573081342209 0.3 2.6 376.926469536757 147621.315565991 12730.0599989379
"46" 46 0.787963547242453 0.3 2.6 379.640458572932 152728.005251968 12445.4308613799
"47" 47 0.792115839794982 0.3 2.6 379.914147660524 152188.195054692 12427.2652138512
"48" 48 0.788126097984014 0.3 2.6 380.915901191214 154953.247271531 12327.4326491994
"49" 49 0.79379580668651 0.3 2.6 384.183540810234 159847.286459275 12041.8027609026
"50" 50 0.796172484728734 0.3 2.6 385.836504753636 161252.156587295 11967.167739868
"51" 51 0.791509661208787 0.3 2.6 386.199593554707 165319.196271689 11869.1125553639
"52" 52 0.792353518623612 0.3 2.6 386.94516397909 166154.8922649 11826.0967078132
"53" 53 0.794114164014386 0.3 2.6 387.498690151341 166566.647132362 11795.421861149
"54" 54 0.800671254409906 0.3 2.6 391.192344760902 167842.679179992 11731.9500968504
"55" 55 0.800712488664388 0.3 2.6 391.579394804033 168341.014739812 11713.1555132474
"56" 56 0.79705336773356 0.3 2.6 390.915879221443 169164.967904257 11667.942364047
"57" 57 0.793144913625142 0.3 2.6 391.470539784945 169783.301295201 11644.3565936102
"58" 58 0.79197175721071 0.3 2.6 392.007004758108 171063.207947332 11627.4497103771
"59" 59 0.794867536369316 0.3 2.6 392.338122253531 170339.382786575 11607.6846401173
"60" 60 0.797233806260831 0.3 2.6 392.623205754772 170450.625472719 11605.6473110579
"61" 61 0.797505404228978 0.3 2.6 392.842641881627 170367.915171277 11602.9917645995
"62" 62 0.79641635594213 0.3 2.6 395.000651719222 174257.009104973 11501.281085219
"63" 63 0.796129794293475 0.3 2.6 395.406790369612 174083.06281207 11491.7285971437
"64" 64 0.79708920870782 0.3 2.6 396.502790264272 175133.378703706 11459.2111455589
"65" 65 0.79708920870782 0.3 2.6 396.502790264272 175133.378703706 11459.2111455589
"66" 66 0.794366191887622 0.3 2.6 396.572326787038 175538.289375697 11457.8440948269
"67" 67 0.796563447856682 0.3 2.6 396.869176001933 175049.811791236 11448.8935003284
"68" 68 0.790220155419034 0.3 2.6 404.824369154139 180468.747488374 11320.411311891
"69" 69 0.795362486575061 0.3 2.6 404.799416594304 179902.697091097 11246.6941470642
"70" 70 0.794744246447596 0.3 2.6 404.713891659079 179595.777304018 11251.6922447628
"71" 71 0.794744246447596 0.3 2.6 404.713891659079 179595.777304018 11251.6922447628
"72" 72 0.796015748066773 0.3 2.6 408.736021392415 175065.19710617 11158.1843224296
"73" 73 0.794856534251289 0.3 2.6 409.0546813261 175254.588816485 11151.978842511
"74" 74 0.795244281801366 0.3 2.6 410.175047043458 175092.765351228 11124.9026224895
"75" 75 0.795431763073945 0.3 2.6 410.547408807469 174962.185621202 11116.2494920885
"76" 76 0.795160444137245 0.3 2.6 410.865638948637 174821.733177185 11109.8761404162
"77" 77 0.795052418641909 0.3 2.6 411.140201616063 174710.786443302 11104.1453995376
"78" 78 0.794937372503322 0.3 2.6 411.346915638341 176920.820160583 11094.5067494088
"79" 79 0.794227394105073 0.3 2.6 411.603154225809 177377.107911223 11092.5406670758
"80" 80 0.797604438026875 0.3 2.6 412.604157739859 178501.436804731 11064.1454510322
"81" 81 0.796810852233879 0.3 2.6 412.75813592136 178556.78679188 11058.5689761101
"82" 82 0.797174173523123 0.3 2.6 412.874051666814 178374.252681165 11056.6043141891
"83" 83 0.796385360066897 0.3 2.6 413.249907940294 178622.03725633 11047.2273081231
"84" 84 0.797474736849182 0.3 2.6 414.849275978512 175152.177501481 11019.3861970394
"85" 85 0.79682546732215 0.3 2.6 420.947510886819 179579.252924763 10878.170819107
"86" 86 0.795107638354821 0.3 2.6 421.585736392448 179182.133806823 10866.8474924097
"87" 87 0.797057671599375 0.3 2.6 421.583473553535 179123.000694911 10863.6626024356
"88" 88 0.796831775741821 0.3 2.6 422.510386317777 179606.920568785 10844.5307147333
"89" 89 0.796049229436592 0.3 2.6 423.302039367507 179383.909046495 10827.2901979166
"90" 90 0.794986132959935 0.3 2.6 424.433092353051 180811.80972677 10813.6012957308
"91" 91 0.795997467879622 0.3 2.6 424.49086126045 180869.839389241 10808.1092812209
"92" 92 0.795997467879622 0.3 2.6 424.49086126045 180869.839389241 10808.1092812209
"93" 93 0.798006336598452 0.3 2.6 424.843834505339 178370.998526086 10795.9183305461
"94" 94 0.798696697257026 0.3 2.6 426.320977906707 180023.573103257 10772.0734732884
"95" 95 0.798098715978444 0.3 2.6 426.937378298549 179653.68444349 10754.4768882414
"96" 96 0.789139012285387 0.3 2.6 432.41802421426 174790.669190509 10709.0822076457
"97" 97 0.797214432320607 0.3 2.6 436.257695941629 174284.405942866 10555.0766905816
"98" 98 0.796557669733044 0.3 2.6 436.61130866951 173855.067012106 10546.2146609946
"99" 99 0.796531517095426 0.3 2.6 437.850820139 174772.251216802 10519.0915654344
"100" 100 0.795712617802046 0.3 2.6 438.444888177064 175064.088436968 10506.0628339226
"101" 101 0.795712617802046 0.3 2.6 438.444888177064 175064.088436968 10506.0628339226
"102" 102 0.794518685516847 0.3 2.6 439.244300721982 175077.432164209 10493.0072147435
"103" 103 0.794368412156741 0.3 2.6 443.296730618569 175415.439369767 10413.2554691154
"104" 104 0.794657989154556 0.3 2.6 443.809968052306 175323.431082166 10401.6301280916
"105" 105 0.796617160981591 0.3 2.6 444.355458702384 175234.327693485 10389.1047914608
"106" 106 0.79709341122144 0.3 2.6 444.663758914904 174427.262682393 10385.0424503267
"107" 107 0.798031261331071 0.3 2.6 445.55613280403 173773.971237819 10374.4224097446
"108" 108 0.79556746214128 0.3 2.6 448.925277128073 173833.518083446 10299.2551575742
"109" 109 0.795779483163836 0.3 2.6 455.558002715072 172373.816577706 10174.5389253586
"110" 110 0.794495770400889 0.3 2.6 455.715983014277 172553.314313644 10172.6590782174
"111" 111 0.796815894714797 0.3 2.6 456.488576231487 172559.748664576 10159.8227735723
"112" 112 0.795296177483246 0.3 2.6 456.523042490361 172023.094942489 10156.7626075141
"113" 113 0.794207684855517 0.3 2.6 456.922924798528 172283.355808766 10151.3039056422
"114" 114 0.793351680026252 0.3 2.6 461.629295009258 177683.85265553 10089.4097046365
"115" 115 0.796838031620263 0.3 2.6 462.093088857018 177921.142797253 10068.9710424213
"116" 116 0.796423329783022 0.3 2.6 463.079992751724 176970.691496332 10046.2807889577
"117" 117 0.795837950073892 0.3 2.6 467.59743346325 180308.953979793 9993.52058463767
"118" 118 0.792710974841182 0.3 2.6 469.646244983021 177221.420618194 9955.18466176759
"119" 119 0.792214955779193 0.3 2.6 471.637989296763 175247.203184804 9914.17870170389
"120" 120 0.79792602029346 0.3 2.6 478.976963509723 167161.943443557 9789.25545996967
"121" 121 0.791543349112265 0.3 2.6 483.112239993332 164333.627093485 9727.84747308112
"122" 122 0.792331130516949 0.3 2.6 483.107473708979 163842.10449424 9725.88840137485
"123" 123 0.793363955747967 0.3 2.6 484.068462954862 164417.442311166 9701.3228085734
"124" 124 0.793658202481765 0.3 2.6 489.552608119039 164038.624740736 9611.80954237099
"125" 125 0.794011048244606 0.3 2.6 489.999001408295 164746.46798265 9599.48525237362
"126" 126 0.793549779377636 0.3 2.6 490.994430008885 164235.056526709 9586.95097408773
"127" 127 0.79558118498445 0.3 2.6 491.614298408383 164065.947361924 9581.75122093034
"128" 128 0.793280942156331 0.3 2.6 491.440811645545 164263.433723791 9580.02584104652
"129" 129 0.79572076040458 0.3 2.6 497.029188019746 165713.57418169 9485.56230058801
"130" 130 0.794301721441415 0.3 2.6 497.134745186931 166073.583304858 9478.97355113878
"131" 131 0.795180634720517 0.3 2.6 502.885523065043 168051.328881476 9387.8237297689
"132" 132 0.793678379284383 0.3 2.6 503.124760052095 168138.724931857 9385.26605255309
"133" 133 0.797511692325887 0.3 2.6 508.486789960679 172150.062747127 9323.61291005355
"134" 134 0.794262132726219 0.3 2.6 513.765148506837 171448.741641126 9241.70814775248
"135" 135 0.795226638163001 0.3 2.6 515.304206333837 170376.23455205 9215.59555229992
"136" 136 0.795227186202328 0.3 2.6 516.213193278075 169451.01919967 9200.81343545899
"137" 137 0.793585989007876 0.3 2.6 516.736903056786 169829.512199505 9197.34157863433
"138" 138 0.795965060126272 0.3 2.6 517.681119803525 169149.432588012 9182.4520281069
"139" 139 0.795733720101774 0.3 2.6 523.540222551795 168276.629438159 9103.20069292991
"140" 140 0.794599046689132 0.3 2.6 524.27836473271 168332.715159573 9091.78280525246
"141" 141 0.791641580576518 0.3 2.6 534.766410003088 160559.899593068 8975.72807797465
"142" 142 0.789065635545605 0.3 2.6 539.677918790059 163326.711402117 8933.9898698641
"143" 143 0.79598676533155 0.3 2.6 540.072577132166 163038.772665845 8902.19203607342
"144" 144 0.794667580967346 0.3 2.6 540.936565674175 163181.384999552 8884.59943721017
"145" 145 0.793928576236638 0.3 2.6 540.992040225231 163610.748632921 8881.81261485308
"146" 146 0.793928576236638 0.3 2.6 540.992040225231 163610.748632921 8881.81261485308
"147" 147 0.794181839758723 0.3 2.6 545.396255476599 165748.535022847 8829.84398269094
"148" 148 0.794689916776656 0.3 2.6 546.183744777763 166385.507223627 8822.35967621848
"149" 149 0.793456406643138 0.3 2.6 546.855995248726 166333.483375899 8815.35876105108
"150" 150 0.793725248505826 0.3 2.6 547.357700366067 166792.524696831 8810.48971622987
"151" 151 0.793611267787789 0.3 2.6 547.447661017992 166875.58566987 8810.00358534815
"152" 152 0.793611267787789 0.3 2.6 547.447661017992 166875.58566987 8810.00358534815
"153" 153 0.794671440167821 0.3 2.6 553.82621917285 163706.661949957 8734.41034136984
"154" 154 0.793199032968573 0.3 2.6 554.184061534768 163455.257014967 8729.78987826921
"155" 155 0.792763817357379 0.3 2.6 554.388975731973 164340.791656809 8729.40708468589
"156" 156 0.79389370354341 0.3 2.6 554.685254848304 164161.129734909 8723.93948682517
"157" 157 0.79389370354341 0.3 2.6 554.685254848304 164161.129734909 8723.93948682517
"158" 158 0.79389370354341 0.3 2.6 554.685254848304 164161.129734909 8723.93948682517
"159" 159 0.79389370354341 0.3 2.6 554.685254848304 164161.129734909 8723.93948682517
"160" 160 0.79389370354341 0.3 2.6 554.685254848304 164161.129734909 8723.93948682517
"161" 161 0.79389370354341 0.3 2.6 554.685254848304 164161.129734909 8723.93948682517
"162" 162 0.794099921650453 0.3 2.6 554.7533554467 164225.334805052 8723.31070839299
"163" 163 0.794099921650453 0.3 2.6 554.7533554467 164225.334805052 8723.31070839299
"164" 164 0.792845312875393 0.3 2.6 554.841261687387 164221.611074533 8724.00537065525
"165" 165 0.794768169025773 0.3 2.6 554.780100009035 163971.199955398 8724.12787975901
"166" 166 0.794062519749746 0.3 2.6 554.806281436866 163950.060529983 8722.569474036
"167" 167 0.794062519749746 0.3 2.6 554.806281436866 163950.060529983 8722.569474036
"168" 168 0.794062519749746 0.3 2.6 554.806281436866 163950.060529983 8722.569474036
"169" 169 0.794062519749746 0.3 2.6 554.806281436866 163950.060529983 8722.569474036
"170" 170 0.794062519749746 0.3 2.6 554.806281436866 163950.060529983 8722.569474036
"171" 171 0.794062519749746 0.3 2.6 554.806281436866 163950.060529983 8722.569474036
"172" 172 0.794062519749746 0.3 2.6 554.806281436866 163950.060529983 8722.569474036
"173" 173 0.794062519749746 0.3 2.6 554.806281436866 163950.060529983 8722.569474036
"174" 174 0.793687864252127 0.3 2.6 554.724599491277 164752.651683683 8724.25734062653
"175" 175 0.79446772220346 0.3 2.6 554.661504468412 165735.513100129 8726.90858561405
"176" 176 0.79446772220346 0.3 2.6 554.661504468412 165735.513100129 8726.90858561405
"177" 177 0.79446772220346 0.3 2.6 554.661504468412 165735.513100129 8726.90858561405
"178" 178 0.79446772220346 0.3 2.6 554.661504468412 165735.513100129 8726.90858561405
"179" 179 0.79446772220346 0.3 2.6 554.661504468412 165735.513100129 8726.90858561405
"180" 180 0.795526253516696 0.3 2.6 554.805472004072 165909.908237343 8728.56374135307
"181" 181 0.794259639677285 0.3 2.6 554.827754071059 166124.308071242 8726.03753489959
"182" 182 0.794259639677285 0.3 2.6 554.827754071059 166124.308071242 8726.03753489959
"183" 183 0.794887186350411 0.3 2.6 554.712048724488 165752.330265841 8727.11367015963
"184" 184 0.794887186350411 0.3 2.6 554.712048724488 165752.330265841 8727.11367015963
"185" 185 0.794887186350411 0.3 2.6 554.712048724488 165752.330265841 8727.11367015963
"186" 186 0.794718544903241 0.3 2.6 554.793221375661 164956.725334488 8724.47849983357
