"nMCMC" "beta0" "pC" "Tg" "Baseline" "N" "negativeLLK"
"1" 1 1.60890279176906 0.3 2.6 541.099174161036 12760.7365011421 22072.6159967414
"2" 2 1.58513702844389 0.3 2.6 540.767424741293 12831.6607742387 21770.7422773185
"3" 3 1.57806571520447 0.3 2.6 543.916439088735 13245.910859212 21263.5991487093
"4" 4 1.57420837720749 0.3 2.6 538.920286486438 14089.1898795418 20707.2350090092
"5" 5 1.52225539460326 0.3 2.6 541.854417452056 14255.8901200051 20132.3650927368
"6" 6 1.51946127410553 0.3 2.6 542.66544289334 15056.8990801063 19508.180250022
"7" 7 1.50135073696684 0.3 2.6 540.457140302748 15874.8446114302 18956.2746498287
"8" 8 1.51469634208574 0.3 2.6 546.590722413032 16280.8490842835 18540.2670756322
"9" 9 1.53585901029213 0.3 2.6 551.482246407622 17074.1916311652 17965.2146915594
"10" 10 1.50464757277857 0.3 2.6 553.385760803281 18075.5326419169 17231.6009202744
"11" 11 1.48876215907929 0.3 2.6 563.160320061336 19518.1132457443 16227.3807513523
"12" 12 1.50095140888458 0.3 2.6 573.280646519259 20837.7854032402 15300.9210262561
"13" 13 1.53475596235362 0.3 2.6 586.041134902542 21534.3696891159 14687.4816484147
"14" 14 1.53518992081118 0.3 2.6 587.547700011635 22673.1736963697 14120.6627516343
"15" 15 1.54330680368595 0.3 2.6 588.820011645016 23589.8107524112 13694.8400401717
"16" 16 1.54486774167697 0.3 2.6 594.330620202251 24508.9271250239 13205.2408311469
"17" 17 1.54706078481549 0.3 2.6 605.509158013302 25074.8047015644 12793.6572035086
"18" 18 1.56675277448302 0.3 2.6 616.202949624157 26078.9965262883 12281.9317997332
"19" 19 1.55160047603323 0.3 2.6 621.308964678764 26257.3679180335 12106.6980451129
"20" 20 1.57524161892501 0.3 2.6 627.125014022512 28699.7497088933 11205.9306563466
"21" 21 1.54872852363516 0.3 2.6 635.625991140787 29450.0261816346 10824.8515259924
"22" 22 1.58320977064332 0.3 2.6 642.053793791766 30897.2834352242 10350.1469836386
