"Date","Anchorage AK","Birmingham AL","Little Rock AR","Mesa AZ","Phoenix AZ","Scottsdale AZ","Tempe AZ","Tucson AZ","Berkeley CA","Fresno CA","Irvine CA","Los Angeles CA","Oakland CA","Sacramento CA","San Diego CA","San Francisco CA","San Jose CA","Santa Clara CA","Sunnyvale CA","Colorado Springs CO","Denver CO","WASHINGTON DC","Gainesville FL","Jacksonville FL","Miami FL","Orlando FL","Tampa FL","Atlanta GA","Roswell GA","Honolulu HI","Des Moines IA","Boise ID","Chicago IL","Indianapolis IN","Wichita KS","Lexington KY","Baton Rouge LA","New Orleans LA","Boston MA","Somerville MA","Baltimore MD","Grand Rapids MI","Saint Paul MN","Kansas City MO","Springfield MO","Saint Louis MO","Jackson MS","Cary NC","Charlotte NC","Durham NC","Greensboro NC","Raleigh NC","Lincoln NE","Omaha NE","Newark NJ","Albuquerque NM","Las Vegas NV","Reno NV","Albany NY","Buffalo NY","New York NY","Rochester NY","Cleveland OH","Columbus OH","Dayton OH","Oklahoma City OK","Tulsa OK","Beaverton OR","Eugene OR","Portland OR","Philadelphia PA","Pittsburgh PA","State College PA","Providence RI","Columbia SC","Greenville SC","Knoxville TN","Memphis TN","Nashville TN","Austin TX","Dallas TX","Fort Worth TX","Houston TX","Irving TX","Lubbock TX","Plano TX","San Antonio TX","Salt Lake City UT","Arlington VA","Norfolk VA","Reston VA","Richmond VA","Bellevue WA","Seattle WA","Spokane WA","Madison WI","Milwaukee WI"
"9/28/03",NA,407,NA,NA,757,NA,585,598,NA,NA,NA,901,848,448,562,1003,731,990,602,NA,235,1153,NA,NA,373,609,461,519,NA,794,NA,NA,731,641,NA,NA,NA,1154,314,332,1505,NA,426,330,NA,391,NA,NA,561,521,NA,503,NA,314,540,NA,843,NA,505,NA,579,406,466,437,NA,924,1034,NA,NA,444,1204,1122,NA,NA,NA,NA,NA,NA,425,1150,1200,NA,1412,1122,NA,NA,986,261,1066,948,NA,1035,NA,668,NA,622,452
"10/5/03",NA,402,NA,NA,796,NA,608,674,NA,NA,NA,891,888,436,840,1115,740,915,594,NA,270,1310,NA,NA,386,663,581,484,NA,877,NA,NA,850,657,NA,NA,NA,1162,323,375,1535,NA,423,316,NA,397,NA,NA,673,536,NA,586,NA,331,549,NA,831,NA,508,NA,730,483,535,415,NA,894,1042,NA,NA,471,1124,1193,NA,NA,NA,NA,NA,NA,468,1331,1487,NA,2057,1208,NA,NA,989,249,1249,963,NA,1135,NA,787,NA,626,449
"10/12/03",NA,428,NA,NA,766,NA,629,731,NA,NA,NA,1165,839,468,938,1311,826,989,609,NA,257,1309,641,NA,370,615,567,497,NA,1030,NA,NA,799,685,NA,NA,NA,1274,369,447,1549,NA,457,343,NA,408,NA,NA,738,521,NA,838,NA,373,575,1068,824,NA,555,NA,652,476,671,442,NA,922,1089,NA,NA,574,1249,1306,NA,NA,NA,NA,NA,NA,497,1492,1869,NA,3770,1191,NA,NA,1463,295,1289,970,NA,1170,NA,994,NA,661,437
"10/19/03",NA,494,NA,NA,820,NA,649,778,NA,NA,NA,1158,794,495,1045,1429,958,1020,604,NA,314,1151,680,NA,380,679,628,563,NA,1012,NA,NA,852,697,NA,NA,NA,1488,321,440,1466,NA,440,358,NA,426,NA,NA,799,563,NA,866,NA,382,584,1092,834,NA,604,548,831,498,703,485,NA,1024,1089,NA,NA,683,1279,1343,NA,NA,NA,NA,NA,NA,544,2696,1897,NA,6618,1516,NA,NA,2095,292,1308,1011,NA,1342,NA,999,NA,649,487
"10/26/03",NA,531,NA,NA,908,NA,658,1167,NA,NA,NA,922,908,525,988,1377,1123,1070,640,NA,354,1285,679,NA,412,664,593,845,NA,910,NA,NA,1051,715,NA,NA,NA,2229,346,464,1460,NA,445,384,NA,448,NA,NA,925,573,NA,831,NA,421,626,1089,872,NA,629,557,776,662,794,522,NA,1191,1095,NA,NA,735,1537,1484,NA,NA,NA,NA,NA,NA,554,3918,2029,NA,6412,1559,NA,NA,3282,328,1426,1009,NA,1354,NA,1297,NA,657,499
"11/2/03",NA,548,NA,NA,1109,NA,810,1584,NA,NA,NA,1306,930,643,1021,1423,1035,1322,728,NA,845,1522,736,NA,445,797,699,771,NA,946,NA,NA,1137,681,NA,NA,NA,3288,395,487,1501,NA,462,405,NA,464,NA,NA,975,601,NA,1065,NA,431,658,1194,1028,NA,678,653,1030,1008,928,546,NA,1232,1187,NA,NA,866,1542,1445,NA,NA,NA,NA,NA,NA,603,3840,2647,NA,6046,1891,NA,NA,3554,355,1419,1032,NA,1446,NA,1100,NA,707,521
"11/9/03",NA,579,NA,NA,1422,NA,908,2305,NA,NA,NA,1628,1044,908,990,2644,1084,1361,1120,NA,2559,1705,867,NA,486,984,712,705,NA,1159,NA,NA,1157,700,NA,NA,NA,3838,449,539,1456,NA,564,428,NA,648,NA,NA,966,739,NA,1132,NA,622,707,1278,1096,NA,825,694,957,1099,929,591,NA,1407,2024,NA,NA,1142,1638,1734,NA,NA,NA,NA,NA,NA,655,3064,3387,NA,4379,2514,NA,NA,3706,482,1565,1150,NA,1927,NA,1969,NA,821,566
"11/16/03",NA,856,NA,NA,3004,NA,1076,4575,NA,NA,NA,1859,1648,1350,1508,2531,1187,1846,1861,NA,3653,2182,1251,NA,603,980,912,1527,NA,1239,NA,NA,1493,807,NA,NA,NA,3874,692,659,1806,NA,602,548,NA,724,NA,NA,986,1130,NA,1200,NA,915,818,1982,1408,NA,1003,817,1639,1483,1079,830,NA,4436,3250,NA,NA,1553,1628,2653,NA,NA,NA,NA,NA,NA,902,7201,5723,NA,3925,3314,NA,NA,4888,973,1584,1330,NA,2186,NA,2880,NA,1364,725
"11/23/03",NA,1538,NA,NA,5004,NA,2674,5240,NA,NA,NA,2876,2351,2494,2512,4837,2244,3223,2990,NA,7435,2608,1610,NA,634,1288,1089,2198,725,1448,NA,NA,2306,1098,NA,NA,NA,4118,852,714,2466,NA,678,953,NA,1183,NA,NA,1298,1436,NA,1884,NA,2691,1049,3367,2071,NA,1253,986,2519,1527,1100,1060,641,10155,7148,NA,NA,2452,1958,3085,NA,NA,NA,NA,NA,NA,1098,7259,7441,NA,4054,3417,NA,NA,6983,2594,1824,1713,NA,2552,NA,4152,NA,1627,837
"11/30/03",NA,3218,NA,NA,9722,NA,7541,6753,NA,NA,NA,5390,6276,3518,6873,7840,5849,7470,10110,NA,5903,3214,1960,NA,1031,2072,1409,3417,1098,1459,NA,NA,3406,5137,NA,NA,NA,3970,1382,1777,4309,NA,1367,2407,NA,2862,NA,NA,2439,3034,NA,3785,NA,6672,1501,10548,5093,NA,2879,1327,2831,2356,2136,3419,1179,13958,13264,NA,NA,4071,3074,4696,NA,NA,NA,NA,NA,NA,2578,7392,8642,NA,5553,5002,NA,NA,7940,4086,2860,3102,NA,3484,1571,7445,NA,2969,1314
