"Date","ILI Total"
"9/28/03",21498
"10/5/03",22741
"10/12/03",25158
"10/19/03",27613
"10/26/03",29904
"11/2/03",34097
"11/9/03",42883
"11/16/03",58182
"11/23/03",84436
"11/30/03",130552
"12/7/03",230891
"12/14/03",293204
"12/21/03",318280
"12/28/03",226679
"1/4/04",145829
"1/11/04",102592
"1/18/04",79797
"1/25/04",66058
"2/1/04",55609
"2/8/04",49453
"2/15/04",45833
"2/22/04",42691
"2/29/04",39278
"3/7/04",36209
"3/14/04",33963
"3/21/04",32501
"3/28/04",30639
"4/4/04",29864
"4/11/04",28491
"4/18/04",26929
"4/25/04",25642
"5/2/04",24654
"5/9/04",23628
"5/16/04",22927
"5/23/04",22204
"5/30/04",21685
"6/6/04",21381
"6/13/04",20832
"6/20/04",20501
"6/27/04",20185
"7/4/04",20053
"7/11/04",19682
"7/18/04",19294
"7/25/04",19086
"8/1/04",19039
"8/8/04",18891
"8/15/04",18974
"8/22/04",19412
"8/29/04",19959
"9/5/04",21330
"9/12/04",22296
"9/19/04",23774
"9/26/04",24968
"10/3/04",29458
"10/10/04",37746
"10/17/04",48968
"10/24/04",55135
"10/31/04",57563
"11/7/04",62363
"11/14/04",63881
"11/21/04",62825
"11/28/04",68196
"12/5/04",69299
"12/12/04",71877
"12/19/04",78532
"12/26/04",93433
"1/2/05",98995
"1/9/05",98153
"1/16/05",101736
"1/23/05",111982
"1/30/05",134384
"2/6/05",166399
"2/13/05",180670
"2/20/05",165180
"2/27/05",142394
"3/6/05",125362
"3/13/05",111131
"3/20/05",99914
"3/27/05",87217
"4/3/05",74402
"4/10/05",64515
"4/17/05",57692
"4/24/05",52492
"5/1/05",48355
"5/8/05",44510
"5/15/05",41533
"5/22/05",39488
"5/29/05",37978
"6/5/05",35548
"6/12/05",34171
"6/19/05",33143
"6/26/05",31489
"7/3/05",30771
"7/10/05",29879
"7/17/05",28970
"7/24/05",28291
"7/31/05",27981
"8/7/05",28006
"8/14/05",28122
"8/21/05",28590
"8/28/05",28653
"9/4/05",30238
"9/11/05",36331
"9/18/05",39004
"9/25/05",42107
"10/2/05",49878
"10/9/05",60660
"10/16/05",61608
"10/23/05",64903
"10/30/05",77373
"11/6/05",76068
"11/13/05",77821
"11/20/05",74096
"11/27/05",76044
"12/4/05",76674
"12/11/05",84224
"12/18/05",102740
"12/25/05",123674
"1/1/06",115927
"1/8/06",97696
"1/15/06",90796
"1/22/06",93368
"1/29/06",93787
"2/5/06",95978
"2/12/06",105508
"2/19/06",112014
"2/26/06",113756
"3/5/06",110495
"3/12/06",99944
"3/19/06",93810
"3/26/06",87400
"4/2/06",76026
"4/9/06",66924
"4/16/06",59111
"4/23/06",53528
"4/30/06",50641
"5/7/06",47548
"5/14/06",44552
"5/21/06",42706
"5/28/06",40827
"6/4/06",38651
"6/11/06",36370
"6/18/06",34444
"6/25/06",33175
"7/2/06",32503
"7/9/06",31631
"7/16/06",30533
"7/23/06",29860
"7/30/06",29154
"8/6/06",28816
"8/13/06",28841
"8/20/06",29080
"8/27/06",29708
"9/3/06",31684
"9/10/06",34835
"9/17/06",39080
"9/24/06",41729
"10/1/06",44139
"10/8/06",46798
"10/15/06",50238
"10/22/06",55050
"10/29/06",61258
"11/5/06",66595
"11/12/06",74610
"11/19/06",72240
"11/26/06",80677
"12/3/06",82962
"12/10/06",93093
"12/17/06",106349
"12/24/06",114744
"12/31/06",109186
"1/7/07",96517
"1/14/07",91826
"1/21/07",100778
"1/28/07",112077
"2/4/07",132886
"2/11/07",145057
"2/18/07",145405
"2/25/07",133814
"3/4/07",123070
"3/11/07",107772
"3/18/07",97216
"3/25/07",83330
"4/1/07",71706
"4/8/07",67046
"4/15/07",60974
"4/22/07",54500
"4/29/07",49134
"5/6/07",46042
"5/13/07",42897
"5/20/07",40754
"5/27/07",39331
"6/3/07",37062
"6/10/07",35784
"6/17/07",34338
"6/24/07",33134
"7/1/07",32497
"7/8/07",31546
"7/15/07",30948
"7/22/07",30630
"7/29/07",30630
"8/5/07",30474
"8/12/07",30765
"8/19/07",31219
"8/26/07",32456
"9/2/07",35293
"9/9/07",38025
"9/16/07",40928
"9/23/07",42943
"9/30/07",46631
"10/7/07",49026
"10/14/07",53754
"10/21/07",57793
"10/28/07",64059
"11/4/07",69643
"11/11/07",72449
"11/18/07",68630
"11/25/07",74888
"12/2/07",73813
"12/9/07",73051
"12/16/07",76471
"12/23/07",85001
"12/30/07",96439
"1/6/08",97263
"1/13/08",100493
"1/20/08",133177
"1/27/08",188467
"2/3/08",251692
"2/10/08",283525
"2/17/08",314315
"2/24/08",281411
"3/2/08",219176
"3/9/08",171889
"3/16/08",137425
"3/23/08",114095
"3/30/08",94609
"4/6/08",79499
"4/13/08",69263
"4/20/08",61108
"4/27/08",54582
"5/4/08",48974
"5/11/08",46030
"5/18/08",43357
"5/25/08",40354
"6/1/08",37697
"6/8/08",35183
"6/15/08",33781
"6/22/08",32032
"6/29/08",30772
"7/6/08",30322
"7/13/08",29215
"7/20/08",28136
"7/27/08",27785
"8/3/08",27912
"8/10/08",28713
"8/17/08",29316
"8/24/08",30984
"8/31/08",34731
"9/7/08",39026
"9/14/08",42951
"9/21/08",47847
"9/28/08",51585
"10/5/08",55185
"10/12/08",58450
"10/19/08",64376
"10/26/08",71350
"11/2/08",76660
"11/9/08",87214
"11/16/08",90678
"11/23/08",82546
"11/30/08",91169
"12/7/08",88078
"12/14/08",83771
"12/21/08",85991
"12/28/08",90087
"1/4/09",84975
"1/11/09",80786
"1/18/09",86262
"1/25/09",98230
"2/1/09",122082
"2/8/09",142074
"2/15/09",150071
"2/22/09",155972
"3/1/09",153189
"3/8/09",132521
"3/15/09",115337
"3/22/09",98792
"3/29/09",81248
"4/5/09",68678
"4/12/09",62566
"4/19/09",61832
"4/26/09",150053
"5/3/09",105637
"5/10/09",86310
"5/17/09",80559
"5/24/09",71856
"5/31/09",66547
"6/7/09",68177
"6/14/09",67571
"6/21/09",62730
"6/28/09",59011
"7/5/09",57036
"7/12/09",54565
"7/19/09",51089
"7/26/09",50277
"8/2/09",49086
"8/9/09",49921
