"year","week_num","region1","region2","region3","region4","region5","region6","region7","region8","region9","region10"
1997,40,44,3,32,46,89,5,27,5,243,76
1997,41,57,2,42,44,104,6,15,9,274,62
1997,42,85,1,46,54,186,6,13,3,241,46
1997,43,125,1,32,17,222,7,16,8,214,11
1997,44,73,14,22,43,272,11,12,8,224,21
1997,45,74,20,2,45,282,11,9,7,173,32
1997,46,56,16,51,62,300,14,31,47,298,57
1997,47,66,24,53,65,396,17,29,63,363,24
1997,48,80,1,43,60,341,13,13,16,302,17
1997,49,120,7,46,76,393,16,24,113,282,21
1997,50,96,9,55,110,386,17,37,26,324,23
1997,51,66,11,50,86,254,10,22,25,434,46
1997,52,76,11,69,304,423,26,20,50,495,45
1997,53,208,5,102,133,569,48,64,40,724,53
1998,1,182,6,151,333,547,57,72,38,966,63
1998,2,154,7,175,325,625,44,122,144,946,71
1998,3,258,31,170,246,905,32,222,229,906,127
1998,4,429,37,133,331,1277,29,318,218,562,103
1998,5,632,40,127,208,1158,49,295,178,579,88
1998,6,497,11,122,320,895,45,186,120,333,88
1998,7,411,5,110,195,660,35,83,64,311,74
1998,8,197,11,67,110,433,29,73,64,261,44
1998,9,98,7,60,77,249,16,49,60,163,48
1998,10,40,12,56,56,313,16,20,32,159,44
1998,11,20,15,49,58,234,8,27,27,115,32
1998,12,19,21,45,40,158,3,4,0,174,22
1998,13,14,9,44,36,141,1,13,23,56,21
1998,14,13,18,39,29,160,0,14,25,50,20
1998,15,5,1,29,20,95,2,20,13,50,27
1998,16,6,2,42,29,96,2,10,18,48,12
1998,17,3,9,18,40,110,0,13,7,48,18
1998,18,5,1,17,36,97,0,11,2,30,10
1998,19,4,1,19,15,73,0,11,0,49,14
1998,20,2,1,21,14,63,0,3,0,48,13
1998,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,40,45,23,48,50,103,2,32,42,131,14
1998,41,38,14,49,108,142,6,56,55,109,28
1998,42,62,19,60,80,141,46,76,118,155,26
1998,43,37,0,64,145,417,17,115,110,143,38
1998,44,47,32,123,148,127,88,83,144,217,25
1998,45,67,20,106,208,147,45,76,125,209,19
1998,46,68,16,100,212,156,73,100,212,221,20
1998,47,40,9,166,193,342,59,56,105,217,21
1998,48,68,18,128,224,255,60,97,95,207,24
1998,49,71,12,130,219,268,58,136,106,180,22
1998,50,48,21,110,190,191,71,152,99,243,16
1998,51,68,0,115,168,156,51,66,115,305,20
1998,52,70,5,104,190,243,162,90,105,431,23
1999,1,101,9,112,251,202,151,105,185,612,52
1999,2,153,13,215,371,344,338,106,247,549,71
1999,3,203,37,283,622,642,344,263,514,903,53
1999,4,246,35,327,649,1018,374,318,676,827,75
1999,5,563,36,306,722,1694,364,560,612,732,81
1999,6,553,27,515,602,1937,316,473,550,681,114
1999,7,448,15,353,533,1773,378,468,415,433,104
1999,8,473,18,382,537,1436,362,316,333,543,86
1999,9,431,17,323,506,1186,274,243,315,556,59
1999,10,252,17,277,460,753,178,179,243,526,37
1999,11,139,9,295,235,590,128,179,153,306,36
1999,12,128,12,195,229,330,84,96,124,462,36
1999,13,67,6,114,120,208,63,86,97,305,25
1999,14,51,0,82,77,116,24,36,37,184,25
1999,15,26,7,74,45,69,10,37,36,75,17
1999,16,21,0,60,44,33,6,31,16,49,11
1999,17,28,0,60,29,40,9,34,13,172,14
1999,18,9,13,51,16,20,1,22,14,31,3
1999,19,12,10,73,19,15,2,22,9,124,6
1999,20,1,13,62,19,26,0,25,4,127,6
1999,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,40,22,0,73,246,109,8,55,92,166,20
1999,41,50,17,74,320,109,68,70,103,167,19
1999,42,30,20,82,348,170,44,56,66,233,18
1999,43,40,11,56,287,194,44,79,104,264,10
1999,44,95,23,80,432,189,123,99,92,427,10
1999,45,69,30,77,405,250,114,92,82,437,14
1999,46,78,16,82,457,268,148,72,161,401,18
1999,47,86,30,47,375,291,211,52,122,603,16
1999,48,136,28,78,451,445,367,149,227,575,28
1999,49,166,71,93,555,545,369,182,481,763,39
1999,50,224,63,130,639,1097,401,346,523,746,39
1999,51,244,89,207,810,1282,551,368,733,828,56
1999,52,357,84,266,1209,1845,693,568,831,931,62
2000,1,526,171,471,1512,1750,686,451,761,891,53
2000,2,485,74,398,1268,1224,433,413,431,694,50
2000,3,271,89,279,965,773,212,272,272,695,29
2000,4,193,37,258,767,558,135,179,178,567,29
2000,5,143,59,182,600,459,114,131,200,566,24
2000,6,105,68,146,495,455,61,119,155,597,22
2000,7,84,35,127,307,270,47,115,108,570,5
2000,8,66,26,121,246,181,14,55,68,543,5
2000,9,43,45,103,293,203,20,40,112,522,4
